Symbol,Name,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,News11,News12,News13,News14,News15
02388,BOC%20HONG%20KONG,Hang Seng slips 0.5pc on Wall St lead,Mainland China banks stay put on mortgage rates and down payment requirement,Yuan trade to start in Taiwan in weeks,Trouble with D words: democracy and domestic helpers,SCMP’s Falklands-inspired poll sparks Hong Kong colonial debate,Milk powder curbs may be the epitome of cognitive dissonance,"In world&#039;s priciest luxury city, baby formula is most precious commodity","China’s CNOOC agrees to alter Nexen’s US oil lease, says reports",Russian ship impresses Chinese journalists and Disneyland profit impresses all,Warwick Reid&#039;s legal hobby draws attention &#039;for all the wrong reasons&#039;,,,,,
02888,STANCHART,"StanChart raises dividends, cuts back on top bonuses","Fauja Singh, 101, to call time on marathons after StanChart race","Business Digest, March 1, 2013",Standard Chartered keen to grow branch numbers on mainland China,Standard Chartered HK Marathon to deploy record 800 medics,Talking points,"Business Digest, February 28, 2013",A matter of some interest at Standard Chartered,,,,,,,
03328,BANKCOMM,,,,,,,,,,,,,,,
03618,CQRC%20BANK,,,,,,,,,,,,,,,
03698,HUISHANG%20BANK,,,,,,,,,,,,,,,
03866,BQD,,,,,,,,,,,,,,,
03968,CM%20BANK,Business class up in the air,"China Digest, February 4, 2013",,,,,,,,,,,,,
03988,BANK%20OF%20CHINA,"Bank of China loses chairman, gains regulatory ally",Bank of China chief Xiao Gang is to head securities watchdog,Chinese lenders see robust profit growth,AgBank adds traders for dim sum sales,Outgunning the West,Big Four&#039;s new-loans quota for 2013 &#039;close to 3tr yuan&#039;,Fresh loans down at big four state banks,People&#039;s Bank of China sounds alarm over inflationary pressures,"Inflation is controllable, People&#039;s Bank of China deputy Yi Gang says",Foreign banks in China to tame pay and slow hiring: Robert Walters,,,,,
06122,JIUTAI%20RCB,,,,,,,,,,,,,,,
06138,HARBIN%20BANK,New dawn for China? Corruption crackdown nets big and small officials,"China Digest, February 15, 2013","China Digest, February 7, 2013",,,,,,,,,,,,
06196,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
06818,CEB%20BANK,,,,,,,,,,,,,,,
