,HSBC%HOLDINGS,Chart of the day: China&#;s reserves powder keg,"Chinese, Hong Kong shares quietly mixed; market digests new rules on short-selling",Banks face questions in US Treasury auction probe,HSBC shares down in Hong Kong after nine banks agree US$b rigging settlement in US,HSBC starts talks on Brazilian unit sell-off amid redeployment of assets in Asia,Four of world&#;s five biggest banks in China,"Chinese shares off by midday break, Hong Kong shade up",Chinese and Hong Kong stocks end morning lower as weak PMI figure weighs,"HSBC, Standard Chartered probed over possible handling of dirty money in Fifa scandal","HSBC shows strong, if not fleeting returns for second quarter",,,,,
,ICBC,China’s ICBC bank posts negative profit growth for second quarter,ICBC to buy remaining . per cent of Turkey’s Tektstibank,Four of world&#;s five biggest banks in China,Moody’s says BOC ahead of pack in overseas push by Chinese banks,Two of China&#;s biggest banks post nearly flat profit growth,China investment firm spends  billion yuan boosting stakes in domestic banks ,China Construction Bank follows other big lenders to report flat first-half profit growth,China-Russia tie-up on widebody jet may get started before home-grown plane makes maiden flight,China&#;s biggest banks see slower profit growth amid &#;new normal&#;,Chong Hing Bank gears up for push into China,,,,,
,GRCB,,,,,,,,,,,,,,,
,BANK%OF%TIANJIN,Banks resort to Beijing-backed shadow bailouts for market,Concern raised over Tianjin&#;s free-trade zone,Deadly Tianjin blasts weigh on China’s shipments as imports and exports fall amid weakening demand,China&#;s bank regulator issues third batch of local &quot;bad bank&quot; licences ,Aluminium products maker China Zhongwang hit with book-cooking and fraud allegations,From proud homeowner to the front line of protests over flats damaged in Tianjin blasts,August : Tianjin blast prompts nationwide safety checks; b yuan in housing funds &#;embezzled&#;,Shenzhen new home prices surge pc in August as sales volumes slow,August : Jin Liqun named president-elect of AIIB; Mass murderer suspect arrested in Hunan,On the move: Beijing’s blueprint to cap population ,,,,,
,PSBC,,,,,,,,,,,,,,,
,BCQ,,,,,,,,,,,,,,,
,MINSHENG%BANK,China Minsheng Banking Corp buys into Hong Kong financial firm Quam for HK$b,Minsheng Bank shares in China tumble after major shareholder sells  million shares,Chinese and Hong Kong shares stabilise by midday after rate cuts by Beijing ,Chinese stocks settle lower but recover from worst of beating; Hong Kong ekes out gain ,New Beijing collection joins rising ranks of China’s private art museums,Online finance jobs still a hard sell for young bankers in China,Shanghai falls prey to edgy investors as big market swings promise more volatility ,Being a China-connected global banker isn&#;t what it used to be,China Markets Live- See-sawing Chinese and Hong Kong markets end weakly as rate cuts fail to inspire,China Markets Live- Chinese markets finish week with a bang in day-long rally; Hong Kong crumbles late to end weakly ,,,,,
,CZBANK,,,,,,,,,,,,,,,
,SHENGJINGBANK,,,,,,,,,,,,,,,
,DAHSING%BANKING,China Markets Live- See-sawing Chinese and Hong Kong markets end weakly as rate cuts fail to inspire,,,,,,,,,,,,,,
,BOC%HONG%KONG,Nanyang Commercial Bank’s HK$ billion asking price a bid for state buyers ,July : Tourists detained over terrorism video clips; Official in hot water over attack on website office,Fund sale scheme in Hong Kong and China gets off to promising start,Hong Kong banks offer more perks to lure wary homebuyers,"Shanghai and Shenzhen stocks finish lower, Hong Kong softer at the close",China Cinda eyes banking licenses in Nanyang Bank bid,China Markets Live- Chinese markets finish week with a bang in day-long rally; Hong Kong crumbles late to end weakly ,Yuan volatility plays out in Bank of China and Bank of China (Hong Kong) results,"Chinese shares finish lower as PMI data weighs, Hong Kong off at close","China Markets Live- Shanghai and Shenzhen finish higher, Hong Kong up . per cent at close ",,,,,
,STANCHART,HSBC and StanChart among  banks probed for rigging Brazilian currency,Everything and the kitchen sink for CEO Winters&#; Standard Chartered,Standard Chartered cuts dividend as first-half earnings slump,,,,,,,,,,,,
,BANKCOMM,,,,,,,,,,,,,,,
,CQRC%BANK,,,,,,,,,,,,,,,
,HUISHANG%BANK,PRESS DIGEST- Top stories in Hong Kong and mainland China newspapers on July ,Chinese and Hong Kong shares stabilise by midday after rate cuts by Beijing ,Not all Chinese banks are basket cases,Gome shares plunge on news of HK$. billion deal with founder,Capitalisation gap forming between China&#;s biggest banks as Basel deadline looms,Is it time for mainland Chinese banks to finally turn from &#;non-standard businesses&#;,China Markets Live- See-sawing Chinese and Hong Kong markets end weakly as rate cuts fail to inspire,China Markets Live- Shanghai and Shenzhen shares close off as China PMI falls to -/ year low,,,,,,,
,BQD,,,,,,,,,,,,,,,
,CM%BANK,Hong Kong man armed with knife threatens to burn Hang Seng Bank branch during robbery attempt,Flash floods kill at least five in southwest China’s Yunnan province,Japanese tech firm reminds customers not to have sex with Pepper the robot,"China Markets Live- Shanghai and Shenzhen finish higher, Hong Kong ends marginally easier",How a  sq ft Hong Kong flat became a trendy urban home,"Letters to the Editor, September , ",,,,,,,,,
,BANK%OF%CHINA,Bidding for BOCHK’s Nanyang Commercial Bank to start on Wednesday,Yuan volatility plays out in Bank of China and Bank of China (Hong Kong) results,Capitalisation gap forming between China&#;s biggest banks as Basel deadline looms,"As Beijing reveals modest gold hoard, bulls cry out for more",Four of world&#;s five biggest banks in China,BEA private bank leverages China branch network,People&#;s Bank of China economist sees two-way volatility for yuan in near term,Italian trial date set for Bank of China and others in US$ billion money-laundering case,World Bank urges China to undergo financial overhaul to improve economic growth,Minsheng Bank shares in China tumble after major shareholder sells  million shares,,,,,
,JIUTAI%RCB,,,,,,,,,,,,,,,
,HARBIN%BANK,Hong Kong stocks dip as investors await results of China&#;s bigger firms,"China Markets Live- Shanghai, Shenzhen and Hong Kong end in the red",More than battle cries: a look back at Hong Kong during Japanese occupation days reveals a city resounding with music,,,,,,,,,,,,
,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
,CEB%BANK,,,,,,,,,,,,,,,
