Month,WangZheRongYao_in_Chinese,D_WangZheRongYao,WeiXin_in_Chinese,D_WeiXin,Mobile game,D_Mobile,communication,D-communication,time,Price,D_Price,Predict,,,,,,,,,,,
2007-08,0,2.17580716,0,-4.532684871,36,-8.294528595,50,-10.34644908,39,10.04,4.379420095,4.312623892,,,,,,,,,,,
2007-09,0,2.01072747,0,-4.849367163,36,-8.557160436,57,-3.079667174,40,13.2,6.050389794,13.89730863,,,,,,,,,,,
2007-10,0,1.845647779,0,-5.166049455,37,-7.819792277,61,1.187114731,41,11.7,3.061359492,19.19055146,,,,,,,,,,,
2007-11,0,1.680568089,0,-5.482731747,40,-5.082424118,58,-1.546103363,42,12,1.87232919,14.78919257,,,,,,,,,,,
2007-12,0,1.515488398,0,-5.79941404,45,-0.3450559592,47,-12.27932146,43,9.25,-2.366701111,-0.4184858843,,,,,,,,,,,
2008-01,0,1.350408707,0,-6.116096332,42,-3.6076878,54,-5.012539552,44,9.94,-3.165731413,12.03506381,,,,,,,,,,,
2008-02,0,1.185329017,0,-6.432778624,42,-3.870319641,55,-3.745757647,45,8.85,-5.744761715,14.94944135,,,,,,,,,,,
2008-03,0,1.020249326,0,-6.749460916,43,-3.132951482,56,-2.478975741,46,10.31,-5.773792017,16.90753057,,,,,,,,,,,
2008-04,0,0.8551696355,0,-7.066143209,40,-6.395583324,56,-2.212193836,47,13.14,-4.432822318,21.57905519,,,,,,,,,,,
2008-05,0,0.6900899449,0,-7.382825501,42,-4.658215165,52,-5.94541193,48,12.06,-7.00185262,17.02226676,,,,,,,,,,,
2008-06,0,0.5250102543,0,-7.699507793,43,-3.920847006,49,-8.678630025,49,13.91,-6.640882922,14.53348451,,,,,,,,,,,
2008-07,0,0.3599305637,0,-8.016190086,45,-2.183478847,45,-12.41184812,50,13.4,-8.639913223,9.976696079,,,,,,,,,,,
2008-08,0,0.1948508731,0,-8.332872378,49,1.553889312,45,-12.14506621,51,11.1,-12.42894353,7.954202479,,,,,,,,,,,
2008-09,0,0.02977118247,0,-8.64955467,45,-2.708742529,53,-3.878284308,52,11,-14.01797383,22.47575836,,,,,,,,,,,
2008-10,0,-0.1353085081,0,-8.966236962,44,-3.97137437,54,-2.611502402,53,8.5,-18.00700413,26.34642421,,,,,,,,,,,
2008-11,0,-0.3003881988,0,-9.282919255,46,-2.234006211,53,-3.344720497,54,10,-17.99603443,25.12478938,,,,,,,,,,,
2008-12,0,-0.4654678894,0,-9.599601547,48,-0.4966380523,45,-11.07793859,55,9.68,-19.80506473,16.12112948,,,,,,,,,,,
2009-01,0,-0.63054758,0,-9.916283839,48,-0.7592698934,51,-4.811156686,56,8.99,-21.98409503,24.59409636,,,,,,,,,,,
2009-02,0,-0.7956272706,0,-10.23296613,46,-3.021901734,53,-2.54437478,57,11.48,-20.98312534,30.5327684,,,,,,,,,,,
2009-03,0,-0.9607069612,0,-10.54964842,45,-4.284533576,54,-1.277592875,58,13.8,-20.15215564,34.40343425,,,,,,,,,,,
2009-04,0,-1.125786652,0,-10.86633072,44,-5.547165417,52,-3.010810969,59,17.280001,-18.16118494,34.93894651,,,,,,,,,,,
2009-05,0,-1.290866342,0,-11.18301301,46,-3.809797258,49,-5.744029064,60,18.09,-18.84021624,31.49387594,,,,,,,,,,,
2009-06,0,-1.455946033,0,-11.4996953,46,-4.072429099,46,-8.477247158,61,20.92,-17.49924654,29.96138201,,,,,,,,,,,
2009-07,0,-1.621025724,0,-11.81637759,48,-2.33506094,43,-11.21046525,62,23.059999,-16.84827784,26.51631144,,,,,,,,,,,
2009-08,0,-1.786105414,0,-12.13305989,47,-3.597692781,44,-9.943683347,63,25.219999,-16.17730815,30.3869773,,,,,,,,,,,
2009-09,0,-1.951185105,0,-12.44974218,43,-7.860324622,52,-1.676901441,64,27.42,-15.46633745,44.90853318,,,,,,,,,,,
2009-10,0,-2.116264795,0,-12.76642447,43,-8.122956463,54,0.5898804641,65,28.66,-15.71536775,48.93462859,,,,,,,,,,,
2009-11,0,-2.281344486,0,-13.08310676,43,-8.385588304,55,1.85666237,66,33.799999,-12.06439905,51.84900612,,,,,,,,,,,
2009-12,0,-2.446424177,0,-13.39978905,47,-4.648220145,45,-7.876555725,67,29.040001,-18.31342735,38.70933385,,,,,,,,,,,
2010-01,0,-2.611503867,0,-13.71647135,43,-8.910851986,49,-3.609773819,68,30.440001,-18.40245765,48.78401826,,,,,,,,,,,
2010-02,0,-2.776583558,0,-14.03315364,43,-9.173483827,53,0.6570080863,69,31.16,-19.17148896,55.0335494,,,,,,,,,,,
2010-03,0,-2.941663249,0,-14.34983593,42,-10.43611567,54,1.923789992,70,32.68,-19.14051926,58.90421526,,,,,,,,,,,
2010-04,0,-3.106742939,0,-14.66651822,43,-9.69874751,51,-0.8094281027,71,30.040001,-23.26954856,56.41543301,,,,,,,,,,,
2010-05,0,-3.27182263,0,-14.98320052,44,-8.961379351,49,-2.542646197,72,26.1,-28.69857986,55.03836863,,,,,,,,,,,
2010-06,0,-3.43690232,0,-15.29988281,45,-8.224011192,47,-4.275864292,73,29.940001,-26.34760916,53.66130425,,,,,,,,,,,
2010-07,0,-3.601982011,0,-15.6165651,74,20.51335697,42,-9.009082386,74,28.459999,-29.31664146,22.17301337,,,,,,,,,,,
2010-08,0,-3.767061702,0,-15.93324739,76,22.25072513,42,-8.74230048,75,33.919998,-25.34567277,22.06309641,,,,,,,,,,,
2010-09,0,-3.932141392,0,-16.24992968,73,18.98809328,49,-1.475518575,76,35.5,-25.25470107,34.5166461,,,,,,,,,,,
2010-10,0,-4.097221083,0,-16.56661198,71,16.72546144,50,-0.2087366694,77,34.540001,-27.70373037,39.34360027,,,,,,,,,,,
2010-11,0,-4.262300773,0,-16.88329427,70,15.4628296,48,-1.941954764,78,33.779999,-29.95276267,39.87911253,,,,,,,,,,,
2010-12,0,-4.427380464,0,-17.19997656,77,22.20019776,40,-9.675172858,79,40.400002,-24.82178997,26.09401104,,,,,,,,,,,
2011-01,0,-4.592460155,2,-15.51665885,75,19.93756592,46,-3.408390953,80,41.200001,-25.51082127,36.67784318,,,,,,,,,,,
2011-02,0,-4.757539845,1,-16.83334115,70,14.67493408,47,-2.141609047,81,37.900002,-30.29985058,44.27451799,,,,,,,,,,,
2011-03,0,-4.922619536,1,-17.15002344,72,16.41230224,48,-0.8748271417,82,44.200001,-25.48888188,45.27631889,,,,,,,,,,,
2011-04,0,-5.087699227,1,-17.46670573,80,24.1496704,44,-4.608045236,83,44.759998,-26.41791518,34.98180055,,,,,,,,,,,
2011-05,0,-5.252778917,2,-16.78338802,82,25.88703856,44,-4.341263331,84,42.240002,-30.42694148,34.97102791,,,,,,,,,,,
2011-06,0,-5.417858608,9,-10.10007032,88,31.62440672,42,-6.074481425,85,40.560001,-33.59597278,29.50653215,,,,,,,,,,,
2011-07,0,-5.582938298,15,-4.416752608,90,33.36177487,38,-9.80769952,86,37,-38.64500408,25.54460962,,,,,,,,,,,
2011-08,0,-5.748017989,15,-4.7334349,92,35.09914303,39,-8.540917614,87,32.84,-44.29403439,26.54641052,,,,,,,,,,,
2011-09,0,-5.91309768,17,-3.050117192,94,36.83651119,46,-1.274135708,88,36.619999,-42.00306569,34.41680726,,,,,,,,,,,
2011-10,0,-6.07817737,18,-2.366799484,97,39.57387935,46,-1.007353803,89,29.040001,-51.07209399,33.44974629,,,,,,,,,,,
2011-11,0,-6.243257061,21,0.3165182234,99,41.31124751,47,0.2594281027,90,31.219999,-50.38112629,34.74898014,,,,,,,,,,,
2011-12,0,-6.408336751,23,1.999835931,100,42.04861567,38,-8.473789992,91,37.939999,-45.15015659,25.78817932,,,,,,,,,,,
2012-01,0,-6.573416442,24,2.683153639,92,33.78598383,42,-4.207008086,92,40.400002,-44.17918389,39.78716132,,,,,,,,,,,
2012-02,0,-6.738496133,31,9.366471347,88,29.52335199,44,-1.940226181,93,43.32,-42.7482162,48.33242021,,,,,,,,,,,
2012-03,0,-6.903575823,31,9.049789054,90,31.26072015,45,-0.6734442752,94,48.759998,-38.7972485,49.33422111,,,,,,,,,,,
2012-04,0,-7.068655514,32,9.733106762,90,30.9980883,41,-4.40666237,95,42.68,-46.3662768,46.78915363,,,,,,,,,,,
2012-05,0,-7.233735205,37,14.41642447,93,33.73545646,42,-3.139880464,96,45.200001,-45.3353061,47.3303878,,,,,,,,,,,
2012-06,0,-7.398814895,44,21.09974218,96,36.47282462,39,-5.873098559,97,46.360001,-45.6643364,43.62303913,,,,,,,,,,,
2012-07,0,-7.563894586,51,27.78305989,95,35.21019278,36,-8.606316653,98,47.400002,-46.1133657,43.74084373,,,,,,,,,,,
2012-08,0,-7.728974276,50,26.46637759,98,37.94756094,36,-8.339534747,99,52.84,-42.16239801,42.57549413,,,,,,,,,,,
2012-09,0,-7.894053967,37,13.1496953,91,30.6849291,45,0.9272471581,100,54.799999,-41.69142931,59.78875672,,,,,,,,,,,
2012-10,0,-8.059133658,38,13.83301301,84,23.42229726,44,0.1940290636,101,50.639999,-47.34045961,67.27286107,,,,,,,,,,,
2012-11,0,-8.224213348,39,14.51633072,83,22.15966542,42,-1.539189031,102,49.799999,-49.66948991,67.90751764,,,,,,,,,,,
2012-12,0,-8.389293039,45,20.19964842,89,27.89703358,34,-9.272407125,103,54.279999,-46.67852021,55.67357036,,,,,,,,,,,
2013-01,0,-8.554372729,49,23.88296613,83,21.63440173,39,-4.00562522,104,53.639999,-48.80755051,69.16912654,,,,,,,,,,,
2013-02,0,-8.71945242,60,34.56628384,83,21.37176989,42,-0.7388433142,105,49.360001,-54.57657882,75.39752729,,,,,,,,,,,
2013-03,0,-8.884532111,62,36.24960155,90,28.10913805,41,-1.472061409,106,53.240002,-52.18560812,69.5927395,,,,,,,,,,,
2013-04,0,-9.049611801,68,41.93291925,89,26.84650621,41,-1.205279503,107,61.560001,-45.35463942,72.94655339,,,,,,,,,,,
2013-05,0,-9.214691492,75,48.61623696,93,30.58387437,38,-3.938497598,108,60.84,-47.56367072,68.2829164,,,,,,,,,,,
2013-06,0,-9.379771182,79,52.29955467,99,36.32124253,37,-4.671715692,109,70.360001,-39.53270002,63.63270557,,,,,,,,,,,
2013-07,0,-9.544850873,82,54.98287238,96,33.05861069,34,-7.404933786,110,72.720001,-38.66173032,65.26650954,,,,,,,,,,,
2013-08,0,-9.709930564,100,72.66619009,91,27.79597885,33,-8.138151881,111,81.360001,-31.51076063,72.52349063,,,,,,,,,,,
2013-09,0,-9.875010254,84,56.34950779,82,18.53334701,42,1.128630025,112,84.639999,-29.71979293,91.3518969,,,,,,,,,,,
2013-10,0,-10.04008994,80,52.0328255,78,14.27071516,42,1.39541193,113,89.68,-26.16882223,96.58313258,,,,,,,,,,,
2013-11,0,-10.20516964,82,53.71614321,78,14.00808332,41,0.6621938357,114,98.919998,-18.41785453,97.47236301,,,,,,,,,,,
2013-12,0,-10.37024933,83,54.39946092,79,14.74545148,34,-6.071024259,115,108.699997,-10.12688583,90.63585361,,,,,,,,,,,
2014-01,0,-10.53532902,84,55.08277862,71,6.482819641,38,-1.804242353,116,124.5,4.184086865,104.6348356,,,,,,,,,,,
2014-02,0,-10.70040871,93,63.76609633,69,4.2201878,41,1.462539552,117,107.900002,-13.90494144,112.5775244,,,,,,,,,,,
2014-03,0,-10.8654884,95,65.44941404,70,4.957555959,41,1.729321458,118,96.639999,-26.65397474,113.6221844,,,,,,,,,,,
2014-04,0,-11.03056809,91,61.13273175,72,6.694924118,39,-0.003896636587,119,109.300003,-15.48300104,110.8922544,,,,,,,,,,,
2014-05,0,-11.19564778,94,63.81604946,74,8.432292277,38,-0.737114731,120,118.199997,-8.072037342,109.9680525,,,,,,,,,,,
2014-06,0,-11.36072747,27,-3.500632837,75,9.169660436,36,-2.470332826,121,128.399994,0.6389293564,101.9483189,,,,,,,,,,,
2014-07,0,-11.52580716,21,-9.817315129,73,6.907028595,33,-5.20355092,122,126.5,-2.750094945,101.7335357,,,,,,,,,,,
2014-08,0,-11.69088685,20,-11.13399742,68,1.644396754,34,-3.936769014,123,115.5,-15.23912525,109.3302105,,,,,,,,,,,
2014-09,0,-11.85596654,19,-12.45067971,62,-4.618235087,42,4.330012891,124,123.599998,-8.628157549,125.6651987,,,,,,,,,,,
2014-10,0,-12.02104623,18,-13.76736201,62,-4.880866928,41,3.596794797,125,124,-9.71718585,126.2569962,,,,,,,,,,,
2014-11,0,-12.18612592,18,-14.0840443,58,-9.143498769,42,4.863576702,126,112.5,-22.70621615,132.996527,,,,,,,,,,,
2014-12,0,-12.35120561,20,-12.40072659,60,-7.406130611,34,-2.869641392,127,132,-4.695246454,124.1911558,,,,,,,,,,,
2015-01,0,-12.5162853,16,-16.71740888,57,-10.66876245,37,0.3971405133,128,135.899994,-2.284282755,131.8012567,,,,,,,,,,,
2015-02,0,-12.68136499,16,-17.03409118,55,-12.93139429,41,4.663922419,129,147.199997,7.526689943,139.9633645,,,,,,,,,,,
2015-03,0,-12.84644469,17,-16.35077347,58,-10.19402613,41,4.930704324,130,160.899994,19.73765664,138.9963035,,,,,,,,,,,
2015-04,0,-13.01152438,17,-16.66745576,61,-7.456657975,39,3.19748623,131,155.699997,13.04862934,135.7066625,,,,,,,,,,,
2015-05,0,-13.17660407,18,-15.98413805,60,-8.719289816,37,1.464268135,132,154.699997,10.55959904,136.3413191,,,,,,,,,,,
2015-06,0,-13.34168376,18,-16.30082034,65,-3.981921657,36,0.731050041,133,144.699997,-0.9294312639,132.2508193,,,,,,,,,,,
2015-07,0,-13.50676345,19,-15.61750264,60,-9.244553498,32,-3.002168053,134,131.800003,-15.31845557,134.4871934,,,,,,,,,,,
2015-08,0,-13.67184314,20,-14.93418493,57,-12.50718534,33,-1.735386148,135,129.300003,-19.30748587,140.3695802,,,,,,,,,,,
2015-09,0,-13.83692283,21,-14.25086722,54,-15.76981718,40,5.531395758,136,146.600006,-3.496513169,152.9222742,,,,,,,,,,,
2015-10,1,-13.00200252,21,-14.56754951,55,-15.03244902,40,5.798177663,137,154.300003,2.714453529,154.9966062,,,,,,,,,,,
2015-11,2,-12.16708221,22,-13.88423181,54,-16.29508086,39,5.064959569,138,152.5,-0.5745797724,157.9709412,,,,,,,,,,,
2015-12,2,-12.3321619,23,-13.2009141,56,-14.5577127,33,-0.6682585257,139,144.899994,-9.663616074,151.2898614,,,,,,,,,,,
2016-01,0,-14.49724159,12,-24.51759639,50,-20.82034454,38,4.59852338,140,141.899994,-14.15264638,160.8423316,,,,,,,,,,,
2016-02,0,-14.66232128,13,-23.83427868,48,-23.08297639,42,8.865305285,141,158.399994,0.8583233225,169.1035837,,,,,,,,,,,
2016-03,0,-14.82740097,13,-24.15096098,50,-21.34560823,40,7.132087191,142,158.899994,-0.1307069791,166.770231,,,,,,,,,,,
2016-04,1,-13.99248066,13,-24.46764327,49,-22.60824007,40,7.398869096,143,173.300003,12.78027172,170.7571396,,,,,,,,,,,
2016-05,1,-14.15756035,14,-23.78432556,51,-20.87087191,38,5.665651002,144,176.100006,14.09124442,168.5229312,,,,,,,,,,,
2016-06,1,-14.32264004,14,-24.10100785,52,-20.13350375,37,4.932432908,145,186.5,23.00220812,168.2575847,,,,,,,,,,,
2016-07,1,-14.48771974,13,-25.41769014,52,-20.39613559,32,0.1992148131,146,201.800003,36.81318081,164.4025107,,,,,,,,,,,
2016-08,1,-14.65279943,13,-25.73437244,49,-23.65876743,34,2.465996719,147,213,46.52414751,171.2974711,,,,,,,,,,,
2016-09,1,-14.81787912,14,-25.05105473,49,-23.92139927,40,8.732778624,148,205.800003,37.83512021,179.8695823,,,,,,,,,,,
2016-10,2,-13.98295881,13,-26.36773702,50,-23.18403111,40,8.99956053,149,193.699997,24.24608391,181.8447699,,,,,,,,,,,
2016-11,2,-14.1480385,13,-26.68441931,47,-26.44666296,40,9.266342435,150,189.699997,18.75705361,186.5162945,,,,,,,,,,,
2016-12,29,12.68688181,28,-12.00110161,51,-22.7092948,33,2.533124341,151,204.399994,31.96802031,211.3538764,,,,,,,,,,,
2017-01,55,38.52180212,36,-4.317783898,48,-25.97192664,37,6.799906246,152,207,33.078996,253.1924023,,,,,,,,,,,
2017-02,61,44.35672243,34,-6.63446619,47,-27.23455848,41,11.06668815,153,222.800003,47.3899687,267.5676967,,,,,,,,,,,
2017-03,73,56.19164274,38,-2.951148482,48,-26.49719032,41,11.33347006,154,243.399994,66.5009294,283.5461723,,,,,,,,,,,
2017-04,81,64.02656305,38,-3.267830775,50,-24.75982216,38,8.600251963,155,267.600006,89.2119111,289.9247864,,,,,,,,,,,
2017-05,88,70.86148336,39,-2.584513067,52,-23.022454,36,6.867033869,156,279.200012,99.3228868,296.2863022,,,,,,,,,,,
2017-06,94,76.69640367,39,-2.901195359,53,-22.28508584,34,5.133815774,157,313.399994,132.0338385,302.2770013,,,,,,,,,,,
2017-07,100,82.53132398,37,-5.217877651,53,-22.54771768,31,2.40059768,158,329,146.1448142,307.9139823,,,,,,,,,,,
2017-08,78,60.36624429,38,-4.534559944,51,-24.81034953,31,2.667379585,159,336.200012,151.8557959,284.71323,,,,,,,,,,,
2017-09,74,56.2011646,40,-2.851242236,48,-28.07298137,38,9.934161491,160,352,166.1667536,292.453226,,,,,,,,,,,
