,Start,End,News1,News2,News3,News4,News5,News6,News7,News8,News9,News10,Senti
41,2007-11-01,2007-11-30,Sina profit up 60pc on online ads,NetDragon eyes main-board listing,Tencent posts 50.9pc income growth,,Alibaba tipped for 80pc debut surge,"Goldenbridge, Domain plan New York IPOs",,,,,
42,2007-12-01,2007-12-31,In Brief,Giant Interactive sued for non-disclosure,,,,,,,,,
43,2008-01-01,2008-01-31,,,,,,,,,,,
44,2008-02-01,2008-02-29,A8 Music plans share sale to raise HK$250m,Sina profit gets 49pc boost from Net advertising,Homegrown amateur songwriters find a voice on mobiles,Alibaba surges 13.6pc as Microsoft;s Yahoo bid excites market,,,,,,,
45,2008-03-01,2008-03-31,Tencent profit up 47pc,In Brief,Movius expects sales in Asia to reach 30pc,Results,Alibaba profit surges 340pc but stock falls,ChinaCache to double capacity for CDN service,,,,,
46,2008-04-01,2008-04-30,,Baidu Hi well received but unlikely to dislodge QQ from top,,,,,,,,,
47,2008-05-01,2008-05-31,Results,"Index-bound Chalco, Tencent push higher",In Brief,Quake to affect online revenues for game firms,Tom Eachnet drops fee-based model to catch up with rival,"PCCW, CKI lose blue-chip status",Mainland executive salaries close in on Wall Street levels,,,,
48,2008-06-01,2008-06-30,Company profile- Tencent,Hopes high for recovery as Chengdu rises from ruins,Stock markets brace for volatility,,,,,,,,
49,2008-07-01,2008-07-31,In Brief,Nineyou eyes US$200m from HK share offer,,,,,,,,,
50,2008-08-01,2008-08-31,Tencent shrugs off Olympics impact on third-quarter growth,Tencent sends strong message,Results,Companies reporting this week,,,,,,,
51,2008-09-01,2008-09-30,Results,Results,,A8 shuns paid-for music downloads amid piracy,,,,,,,
52,2008-10-01,2008-10-31,"Taobao, Baidu intensify online retail rivalry",Tencent expects limited impact from slowdown,Results,Jams spark debate on future of ;golden week;,,Taobao to get 5b yuan from parent Alibaba,Turmoil slashes wealth of mainland;s 40 richest,,,,
53,2008-11-01,2008-11-30,Tencent net surges but warns of weak quarter,Results,Results,Results,,,,,,,
54,2008-12-01,2008-12-31,Seven HK-listed stocks among BNP;s best bets,,,,,,,,,,
55,2009-01-01,2009-01-31,Winning streak,The few safe havens of ;08 set to retain their strength,,,,,,,,,
56,2009-02-01,2009-02-28,Hutchison handset unit eyes growth,Secondary luxury home sales rise to 6-month high amid bargain hunting,,,,,,,,,
57,2009-03-01,2009-03-31,Companies reporting this week,"Netizens best at exposing official graft, says survey",,,,,,,,,
58,2009-04-01,2009-04-30,Blue-chip index may see new members,,,,,,,,,,
59,2009-05-01,2009-05-31,Tencent leaps to record as analysts lift forecasts,Mainlanders back to bargain hunt,,,,,,,,,
60,2009-06-01,2009-06-30,Tencent jumps 5.69pc on upgrade,Tencent eyes mainland listing so users can buy shares,Shenzhen;s new mayor hints at priorities on tour,QQ puts office workers in its message sights,,Shanda boosts revenue 42pc in first quarter,,,,,
61,2009-07-01,2009-07-31,,News Quiz,Ten good bets to look out for in the next six months,Search alliance faces tough market,Investor mood lifts as economy picks up,,,,,,
62,2009-08-01,2009-08-31,Tencent profit surges 85pc on online services,,Alibaba profit drops 34pc but membership surges,"HSI cracks 21,000 level but turnover weakens",Taobao online transaction volume surges 97pc,,,,,,
63,2009-09-01,2009-09-30,,Brands win favour as spending power grows,,,,,,,,,
64,2009-10-01,2009-10-31,Early start in drive to get top graduates,,,,,,,,,,
65,2009-11-01,2009-11-30,,Buffett magic lifts Wang to top of China rich list,,,,,,,,,
66,2009-12-01,2009-12-31,Taobao to launch e-commerce-ready phones,Online games revenue forecast to hit 73b yuan,Stealing by another name is allowed in online game,,Stealing of cyber veggies thrives in a lonely world,,,,,,
67,2010-01-01,2010-01-31,Lenovo forecasts mobile internet devices will outsell computers,"Pull-out would benefit rivals, but innovation and competition could languish",Western delusions,,,,,,,,
68,2010-02-01,2010-02-28,Warcraft to drive NetEase growth,Regulatory nod for NetEase offer defuses turf war,,,,,,,,,
69,2010-03-01,2010-03-31,Erasers purge cyberspace of ;bad press;,"Savvy gamers will want more, Tencent warns","Savvy gamers will want more, Tencent warns",Doors still open for Alibaba as Tencent thrives,Companies reporting this week,,Tech sector learns hard lessons of burst bubble,,,,
70,2010-04-01,2010-04-30,Tencent acquires stake in Russian internet firm,Baidu seen as next US$30b internet firm,"Facebook to set up shop in China, reports say",,,,,,,,
71,2010-05-01,2010-05-31,Tencent targets more emerging markets after push into Russia,NetEase seeks acquisition target to boost online search service,,,,,,,,,
72,2010-06-01,2010-06-30,Stock picks outside the comfort zone win out,,,,,,,,,,
73,2010-07-01,2010-07-31,Baidu gains ground over online search rivals,Mainland internet firms dominant in top 20,Crackdown begins on microblog activities,Father sent for ;re-education; over Net posts,Youku banks on user-pays approach,,,,,,
74,2010-08-01,2010-08-31,Tencent plans to ride on success,Online giants look to strong earnings despite challenges,Companies reporting this week,,,,,,,,
75,2010-09-01,2010-09-30,Firing of editors tied to story critical of Tencent,Baidu widens lead in mobile internet search,EMC wants to grow faster on mainland,Hu heaps praise on Li Ka-shing as they meet for a one-on-one,,,,,,,
76,2010-10-01,2010-10-31,Anger at Shenzhen home subsidies for super-rich,Baidu grows on Google;s mainland woes,Testing times as easy picks have disappeared,,,,,,,,
77,2010-11-01,2010-11-30,"Tencent says sorry, denies any breach of privacy",Tencent to boost security against malicious software,Mainland cyberwar raises fears for privacy,NetEase to boost game roster as profit rises 49pc,Microblogs keep mainland censors on toes,,,,,,
78,2010-12-01,2010-12-31,China giant Tencent lifts instant messaging service abroad,State firms claim top brand valuations,"Nothing can stop the empty chair, one Net user writes as officials race to remove offending posts",Sina to tap Weibo;s commercial potential,,,,,,,
79,2011-01-01,2011-01-31,Who to watch in a consumption boom,Tencent eyes tech investment fund,Shenzhen to shift from speed to quality in new five-year plan,HK;s little brother Shenzhen grows up,Microblogs the right recipe for Beijing cake shop;s success,Idol pursuits,,,,,
80,2011-02-01,2011-02-28,Social media finding ways around censors,Portals gird for battle of microblogs,Groupon bargain site launched on mainland,Activision seeks to boost business on mainland,Official media court investors in the quest for internet influence,,,,,,
81,2011-03-01,2011-03-31,Tencent income set to top 2.8b yuan,"Tencent extends social networks, e-finance to ensure expansion",Companies,Companiesreporting this week,Xinjiang;s populist leader joins ranks of microbloggers,Internet links up public and delegates,,,,,
82,2011-04-01,2011-04-30,HK the ideal hub for big equity deals,Phoenix targets US$200m with NYSE listing,Dell to raise spending on China operations,,,,,,,,
83,2011-05-01,2011-05-31,Tencent buys stake in travel agency eLong,Heady ascent for newly powerful ;Brand China;,Tencent silences online bridge debate,Digital Sky purchase puts Tencent top of buyers; gameboard,China climbs the branding ladder,China brands star in global top 100,In-house titles help lift profits 63pc at NetEase,"Exchange eyes mine, luxury sectors",Wall St ready for run on Renren as clamour sends value up before IPO,Another blow for mainland web users,
84,2011-06-01,2011-06-30,Market Calls,Tencent sets aside funding for apps,Cash crusader goes cyber,Social networking is name of the game,Mainland banks lead slide in response to lending squeeze,Cash ;heroine; popular on the web,,,,,
85,2011-07-01,2011-07-31,Kingsoft founders sign pact after sale of stake,Out of control,Dell opens IT solution centre in Chengdu,Ministry;s response stirs anger,Baidu nearly doubles profit,,,,,,
86,2011-08-01,2011-08-31,Growth dip fails to stop Tencent investment plans,Reporting this week,"Wenzhou crash response exposes rot in political system, say analysts",,,,,,,,
87,2011-09-01,2011-09-30,"Fiona Sit Hoi-kei, actress-singer",Making people vanish,,,,,,,,,
88,2011-10-01,2011-10-31,ChinaVision to pay HK$2b for China Entertainment,Quotes,State websites poised for IPOs,,,,,,,,
89,2011-11-01,2011-11-30,Shanghai tries to connect with online population,Tencent primed to use bonds for buying spree,,,,,,,,,
90,2011-12-01,2011-12-31,First global issue for Tencent raises US$600m,Does blogs; blooming mean schools of thought can contend?,How the chic learned to click,China reels in the pirates,,,,,,,
91,2012-01-01,2012-01-31,Mainland industry giants still top picks,Odyssey in search of human kindness,Mainland online ad spending to exceed HK$73.5b,,,,,,,,
92,2012-02-01,2012-02-29,Tycoon silent on Facebook stake plan,Leung plays waiting game on nominations,Apple takes a big bite of China,,,,,,,,
93,2012-03-01,2012-03-31,Microblogs take HK;s hot contest over the border,Microblog users on net after deadline,Reporting this week,Microblog sites punished after coup rumours,Rivals merge to form online video giant,Tang sinks as rivals shine in first debate,,,,,
94,2012-04-01,2012-04-30,"Qihoo, Tencent face off in anti-monopoly case",Critics snared in microblog crackdown,Rumour battle cannot be won,Mainland web giants to buy video content jointly,Microbloggers back in action,;Even Hollywood movies cannot compare to this;,,,,,
95,2012-05-01,2012-05-31,Row over ;Accept graft; editorial,Sina plans to keep investing in microblog,Private bank keen to spread its wings,Mainland brands join Apple in top 100,Baidu smartphone plan ;long term;,Triads may be in on hijacking by N Koreans,HK firm may win as soccer body seeks new partners,Banking on staying power with China,Stock tactics,,
96,2012-06-01,2012-06-30,"Apple, Baidu in rumoured tie-up",Party still has the last word in world of media commentary,,,,,,,,,
97,2012-07-01,2012-07-31,Tencent buys 20pc stakein Caixin,,Corrections; clarifications,U.S. consulate;s Weibo account is suspended,Post-90s generation speaks up,,,,,,
98,2012-08-01,2012-08-31,Tencent returns to bond market with US$600 million issue,Tencent bonds: Activision in view? ,Tencent touts all-round social app WeChat for smartphones,Official arrested for sex with boys,Solid 2Q results put Tencent on path to more investments,"Alibaba, Tencent, Ping An JV: insuring failure","DJR Digest: Some thoughts on future journalism, and some facts of China’s digital giants","Morning Clicks, August 23",Ping An announces plan for internet insurance,China internet advertising spending jumps 54% in Q2,
99,2012-09-01,2012-09-30,Tencent WeChat wows mobile IM ,"Digest: Localize your business, cases by Tencent and Amazon",WhatsApp faces tough time in China,Youku Tudou sees cost cuts after merger,Alibaba keeps focus on China despite the economic slowdown,"What the mainland media say: September 30, 2012",Alibaba keeps its focus on China despite economic slowdown,Graduates favour Western companies for best jobs,Travelzoo Asia-Pacific targets affluent consumers in mainland market,Mainland media;s protest coverage looks inward,
100,2012-10-01,2012-10-31,Tencent;s GroupNet: a group buying consolidator ,Tencent E-Commerce: Price Wars II?,Taiwan opposition voice security fears over WeChat launch,Market Wrap: Hong Kong stocks rise on China easing hopes; AIA jumps,Chinese censors block New York Times,Kindergarten child abuse photos have netizens seeing red,Beverage tycoon tops Forbes; China rich list,China;s top 100 rich-list fall in value,Price war among mainland online travel agencies to leave few survivors,,
101,2012-11-01,2012-11-30,"China Mobile 3G stable, weighs Fetion move ",Hu Jia explains why mobile apps make activism spooky,Harbin woman allegedly murdered by WeChat ‘friend’,Dell strengthens hold as mainland;s No 2 computer brand,Market Wrap: Hang Seng bounces back from one-month low,Advertising campaigns for mobile apps reach new high,Mizuho to open China fund despite Japanese dispute,Hong Kong stocks retreat from 15-month high,Market cool to the new lower-growth leaders,"Market Wrap: Hang Seng down 1.5pc on China, US worries",
102,2012-12-01,2012-12-31,Tencent;s ;WeChat; instant-message app will challenge Sina,Alibaba celebrates 1.2 million users on Taobao in Hong Kong,Virtual networks coming in 2013,Xi Jinping keeps things low key in trip to Shenzhen,Hu Jintao makes surprise visit to his hometown of Taizhou,"Private mainland brands accelerate growth, report finds",Students divided by Taiwan Strait have lot in common ,Chengdu aims to be world’s next Silicon Valley,Speculation over Xi Jinping;s weibo account,"Xiaomi, Nokia in new web tie-ups",
103,2013-01-01,2013-01-31,;Tis the season to reorganize,300 million and clicking- Tencent;s web chat service a hit,China Mobile muscles Tencent into revenue sharing talks ,The myth of Chinese social media user numbers,SMS at start of long decline for China telcos,Twitter likely to launch IPO in 2014,Taobao vendors cash in on iPhone ;consumer vanity; market ,"China overspending on foreign investments, IMF reports",Xinhua news website applies for Shanghai IPO,China targets celebrities over speech freedom comments in censorship row ,
104,2013-02-01,2013-02-28,"Business Digest, March 1, 2013","Business Digest, February 23, 2013",Former Google China chief banned from microblogging sites,NetDragon;s spin-off of mobile internet business gets green light,"Business Digest, February 4, 2013",Suning joins reorganisation crowd,Human rights lawyer banned from mainland microblogging sites,How online dating lost its stigma,Lenovo shares climb to 13-year high after gaining ;blue-chip; status,"HSI adds Lenovo, dumps Chalco",
105,2013-03-01,2013-03-31,Tencent prevails in anti-trust suit,"New WeChat platform attracts indie publishers, and censorship may be close behind",Chairman adds to holdings in Dah Sing amid active trading,Xi Jinping wraps up Africa tour and Guangdong admits to pension fund debt,Four people killed in Xinjiang knife attack,Outcry after official urges Wechat to charge a fee,Jack Ma sees China online trade entering ;golden age;,China jails 20 on terrorism charges and the debate about the Chinese Dream continues,"Yunnan chengguan accused of beating blind, homeless man","Brand survey: Nokia, Dangdang still hot",
106,2013-04-01,2013-04-30,China Unicom sides with Tencent over WeChat,China Mobile hit by bad Wi-fi bet,"Sina, Alibaba resurrect tie-up talks",Alibaba chief Jack Ma confident on mobile push,"China news round-up: Mental health law enters into effect, Chen Guangcheng;s family harassed",China frees Tibetan activist and jails Guangdong cult member ,Watch imprint on quake official;s wrist goes viral on internet,Loss of market share sees Yahoo China shut mainland e-mail service,Reporter in Guangzhou purchases marijuana online on Alibaba site,Provinces react to stumbling pork prices and supermarkets abroad restrict milk powder sale,
107,2013-05-01,2013-05-31,"Tencent first quarter profit rises 37pc on-year, driven by online games","China news round-up: Riot police quell protest in Beijing, Baidu expands in Indonesia",Chinese boat owner says he was assaulted by North Koreans,Sohu seeks investors to drive growth,"China news round-up: Kunming residents take to the streets, CCTV airs anti-Dalai Lama film",China;s press censors in spotlight as Caixin Century Weekly suspends legal section,Retail counters record strong buying,Online shoppers head into new waters for best deals,,,
108,2013-06-01,2013-06-30,"Hong Kong shares rebound from seven-week low, Tencent rises",Apple set for bigger bite of China mobile market with iOS 7,Jego suspension: China Mobile;s latest mixed signal,Mainland China copyright watchdog monitors Apple and Amazon,Exposure via internet now China;s top weapon in war on graft,Party accused of covering up official;s lavish lifestyle,Sina weighs down Weibo with video,Apple;s revamped iOS receives mixed reception from consumers,Angel investor is really getting started on China,,
109,2013-07-01,2013-07-31,Tencent kicks off mobile games testing for WeChat,Tencent to woo more developers for its services,Tencent wants to cash in on WeChat popularity,"Tencent, Alibaba woo matchmaking site Jiayuan",Severed cables leave WeChat users in limbo,"Hong Kong shares close down 0.3pc, but post best month in 10",Baidu buys app store to boost its mobile armoury,Singer Wu Hongfei to be freed after bomb threat,"China news round-up: Leadership ranking changes, fakes universities exposed","CY Leung gets a Sina Weibo account, but no posts yet",
110,2013-08-01,2013-08-31,Tencent net profit up 18.7pc in quarter,"Tencent launches updated, monetised WeChat version with paid emoticons",Tencent denies report of Singapore IPO for WeChat spin-off,Mobile e-commerce battle heats up in China,New WeChat ;Airplane War; game sending addicted players to hospital,"For Xiaomi, it’s what’s on the inside that counts","WeChat ties up with Unicom, splits with Alibaba",Hainan sex scandal reporter loses job due to alleged government pressure,New York Times apologises to tennis superstar Li Na for steroid use allegation,"China news round-up: Bo Xilai supporter arrested, Tibetan self-immolates in Nepal",
111,2013-09-01,2013-09-30,Tencent teams up with Sohu to vie for No 2 spot,Tencent dips toe in high finance,Tencent builds momentum for mobile e-commerce push,"Rocky marriage ahead for Sohu, Tencent",Netizens disappointed with media reaction after Faye Wong’s divorce announcement,Search wars begin as Sogou sues Qihoo,Search wars begin as Sogou sues Qihoo,City commercial banks stand before new frontiers,Microsoft in China games joint venture,"China news round-up: Landmark torture trial in Zhejiang, local opposition to Third Plenum draft",
112,2013-10-01,2013-10-31,"Tencent, Alibaba open mobile payments battle via vending machines","Hong Kong shares end down slightly, Tencent off record high",Tencent guarantees all financial transactions after barrage of criticism by rival Alibaba,Jack Ma ;threatens to take away bonus; from staff who fail to promote messaging app ,"Weibo: Huawei-Lenovo, Alibaba-Baidu in new courtships?",Jackie Chan hits back at ;sensationalist; media reports on his natural disasters comments,North Korean painters add 1970s twist to Chinese propaganda posters,"In China, not all mobile apps are made equal",Online firms clicking for mobile users,Alipay to expand into Taiwan;s online payments market next year,
113,2013-11-01,2013-11-30,Supreme Court hears monopoly case between Qihoo and Tencent,Bullish Tencent options hit 3-year high,Bulls come out for Tencent ahead of 3Q financial results,WeChat helps Tencent make over HK$637m in Single;s Day sales ,Tencent rejects WeChat prostitution allegations ,Investments weigh down internet giant,"Lenovo, Tencent directors lead rush to unload shares","Social media drive helps lift ;Double 11; sales for Alibaba, Tencent",Weibo: Tencent;s Pony Ma finds new public face,Baidu feels the heat in search rivalry,
114,2013-12-01,2013-12-31,Tencent anchors international expansion on Hong Kong data-centre alliances,Tencent to invest 10b yuan in Qianhai,"No longer just for chatting, WeChat will soon become a financial service platform","Weibo: Tencent;s Pony gets promotional, Alibaba spins Cameron","Weibo: Qihoo takes high road against Tencent, Baidu, Xiaomi",Chinese giants lead the pack as industry cashes up,Tencent poised to become China;s mobile gaming juggernaut,Why WeChat app is good news for Chinese censors,"Weibo: Jingdong;s Liu comes home, Sina Weibo loses lustre","Chinese brands gain clout, but lack overseas profile",
115,2014-01-01,2014-01-31,Mapping China;s byways: Tencent street view fleet heads down new roads,Tencent launch powers shares to fresh record,Tencent eyes e-commerce presence,Tencent invests in Chinese taxi app,China;s online giants Alibaba and Tencent go head to head,How firms are using ;black PR; to tear down their rivals,"In an effort to compete with Tencent, Alibaba reveals the first of its mobile games",New Alibaba platform offers mobile game developers bigger payout,Popular Chinese taxi-booking apps leave smartphone-free travellers out in the cold,Infographic: China;s online game industry made HK$105 billion in 2013,
116,2014-02-01,2014-02-28,Tencent brings its popular messaging app to desktops with WeChat for Mac,Strong rally fuels gamble on Tencent,Tencent buys 20pc stake in consumer review site Dianping,"Meet Weishi, Tencent;s version of Vine",South African media group struck gold by taking a chance on Tencent,Tencent channel falls for The Onion;s Olympics sex spoof,Banks fight back against online investment products,Tencent and JD.com take on common foe Alibaba by merging e-commerce services: report,"Alibaba, Sina cast envious eyes on Tencent;s ;Hongbao;","Price war escalates between taxi-hailing apps backed by internet giants Alibaba, Tencent",
117,2014-03-01,2014-03-31,WeChat’s latest viral hit in China: health insurance,"PBOC halts plans by Tencent, Alibaba for virtual credit cards",China mobile payments market to expand as Tencent-Alibaba rivalry heats up,Tencent aims to work with regulator on online financial services market,Tencent-JD.com alliance intensifies e-commerce challenge to Alibaba,Tencent leads decline in Asian internet stocks,A tale of two internet leaders: Tencent vs Alibaba,Fresh China media crackdown hits popular accounts on Tencent;s WeChat,Tencent M&amp;A in overdrive with reported handset bid,JD.com may launch US$1.5b listing in second quarter,
118,2014-04-01,2014-04-30,Tencent to bolster expansion plans with record bond sale,Tencent primed for more M&amp;A deals after big bond issue,Tencent stays ahead of the game,Baidu cautious on acquisitions as giants rush to strike deals,"Alibaba, Tencent take rivalry to mobile network services",Alibaba IPO poised for reality check as internet stocks decline,Buy-back snaps Tencent;s four-day losing streak,Ma disrupts China;s mobile internet market,Suzhou bans third party taxi booking apps,Lenovo joins bond issue boom,
119,2014-05-01,2014-05-31,Tencent expansion in Asia may be bolstered by Kakao connection,Tencent overtakes China Mobile to become Asia;s most valuable brand,Tencent;s messaging app WeChat target of latest crackdown by officials,Profit at tech firm Tencent up 60pc in first quarter year on year,"Tencent surges as profit beats estimates on mobile games, ads",Tencent subsidiary backs Cheetah Mobile IPO,Chinese blogger ‘fired’ after John Kerry meeting ,Richard Liu set to become billionaire on JD.com;s US share sale,Chinese brands in world of their own,US ’troubled’ by sacking of Chinese blogger,
120,2014-06-01,2014-06-30,58.com announces US$736m investment from Tencent and WeChat integration,Weibo: Tencent;s quick take on 58.com; Xiaomi tries on Vancl,China South City to invest HK$16b in e-commerce push with Tencent,Speculation on Tencent interest fuels rise in SMI Culture shares,Tencent director leads disposals in sluggish trade,"Weibo: JD;s 6-18 hype, Xiaomi;s price cut",Cartoon selfie app is a hit with mainland users,1 yuan at stake in Guangdong;s first WeChat-linked IPO infringement trial ,China cracks down on Apple’s iMessage as national web cleanup continues,Launch of new products to grow mainland China online finance market,
121,2014-07-01,2014-07-31,Tencent gets official approval to create private bank in Qianhai,Tencent to partner with more developers to fuel its mobile games expansion,China;s top smartphone app MYOTee is inspired by manga,CCTV host Rui Chenggang may have had stake in PR firm linked to channel’s shows,Japanese video-game maker eyes mainland market,Chinese head for online banking services as Weibo users shrink,Xiaomi founder Lei Jun donates HK$93 million worth of stocks to employees,Chinese developers to benefit from rise of console games market,Make Tianjin a Shenzhen of the north,Outspoken commentator Li Chengpeng silenced on Chinese social media,
122,2014-08-01,2014-08-31,Wanda links with Tencent and Baidu in 5b yuan e-commerce venture,Tencent profit rises 59pc on boost from gaming and advertising,Sinopec and Tencent consider collaboration,Tencent enables users to pay utility bills through WeChat,Tencent in M&amp;A overdrive with new tie-ups,"JD.com joins Tencent in selling 574,000 smartphones",Tencent to clean up its WeChat service amid crackdown rumours,"Execs voice sympathy for Nokia, Microsoft, Tencent",Chinese mother gives birth to whopping 6.3kg baby boy,"Despite the iPhone;s popularity, Android remains king in China",
123,2014-09-01,2014-09-30,Tencent raises stake in mall operator,Tencent invests US$70 million in academic medical portal DXY,More funds flow to Alibaba;s anticipated record-smashing IPO,Alibaba gains approval to establish commercial bank in Hangzhou,WeChat’s winning formula helps Apple rack up bonus points in China,Chinese officials told to avoid WeChat;s red packets as graft busters fear web-based bribes,China shuts almost 1.8 million accounts in pornography crackdown,Online strategies loom as game changer in China home market,Alibaba;s mega IPO signals rise of China;s new wave of tech giants,The unlikely rise of Shenzhen: paradise for hardware innovators,
124,2014-10-01,2014-10-31,Tencent boosts investments in O2O platforms on the mainland,"Weibo: Smog worries execs, Qihoo admits defeat to Tencent",HK stocks struggling to keep up momentum,"Still plenty of room for Uber and other taxi apps to grow in China, survey reveals",Mainland Chinese technology firms lure back homegrown talent,Beijing eases state-owned monopoly on credit cards,WeChat allegedly censoring photos from Hong Kong protests,Baidu boosts net profit 27pc after mobile search milestone achieved,Mobile business lifts Baidu;s revenue,China renews effort to install home-grown operating systems on government computers,
125,2014-11-01,2014-11-30,"Tencent, Warner Music Group strike landmark deal",Tencent revenue rises but its e-commerce traffic moves to JD.com,;Game of Thrones; comes to China as Tencent joins forces with HBO,"Alibaba, Tencent investing in Ping An;s HK$37b private placement",Alibaba raises cash; Tencent ties with Warner,New Tencent deal may have sparked jump in HKTV shares,Mobile sales ramp-up key to driving JD.com growth over time,Wenzhou-based private commercial bank could launch soon – state backed paper,"JD.com eyes sharper focus on mobile, lower-tier cities in China",China eases grip on capital markets,
