,BANK%OF%TIANJIN,Former Chinese central bank chief resurfaces after  months,"Shanghai FTZ to step up monitoring of capital flows to stabilise the yuan, PBOC says",Dismiss thriving desert hub Dubai at your peril,"It’s prudent to mitigate operational risks, former Financial Secretary Leung says",Developer China Vanke’s profit rises  per cent in third quarter,Stocks move higher as exports rise following -month decline,"Chinese island-building firm wins contract with South China Sea rival claimant, the Philippines","Beijing’s ‘no bailout’ pledge not ultimate solution to local government debt problem, analysts say",Price gap narrows between Shenzhen and Hong Kong stocks ahead of connect plan,World No  Branden Grace loses himself in Macau aura but plans to find his way in time to stake Open title claim,,,,,
,PSBC,Hong Kong tops global IPO markets despite total funds raised sliding to eight-year low,,,,,,,,,,,,,,
,BCQ,,,,,,,,,,,,,,,
,MINSHENG%BANK,"Minsheng Bank Q profit rises .pc, thanks in part to reduced tax bill",More Chinese banks set up own bad-loan asset management companies,Thai banking: Strategy forges rewarding M&amp;A deals that shape lifelong partnerships,"Young Chinese women dare to say no to workplace sexual harassment, says expert",Agricultural Bank of China leads push among China’s big five banks to set up debt-to-equity swap arms,Chinese home price growth slows as cooling measures take effect,Beijing approves ‘reasonable’ debt financing for local governments,Hang Seng Index loses .pc during October,Minsheng Investment reveals ambitious path towards tr yuan valuation within three years,"Corrupt Chinese tycoon Ni Ritao, linked to infamous scandal, lied to Canadian court about secret bribery conviction",,,,,
,CZBANK,,,,,,,,,,,,,,,
,SHENGJINGBANK,,,,,,,,,,,,,,,
,DAHSING%BANKING,,,,,,,,,,,,,,,
,BOC%HONG%KONG,HKSE’s waiver for BoC Hong Kong’s corporate secretary sets a bad precedent,BOC Aviation inks agreement to lease six Airbus As to Qatar Airways,"China’s A-shares gain ground, led by coal and cement stocks as the sixth party plenum opens",BOC Aviation to buy five planes from Air China in lease-back deal,Profitability some way off for Lenovo’s mobile and data centre businesses,Be connected to new consumers with inspiring summit,Five fashion accessories for keeping it cool in Hong Kong,Torrent of outbound FDI poses challenges as well as opportunities,Five looks that scream festive fashion,&#;Assassin’s Creed&#; producer Philip Lee says Chinese cinema ‘may be getting worse’,,,,,
,STANCHART,Manulife narrows gap with HSBC in race for leading share of Mandatory Provident Fund,"Singapore fines StanChart, Coutts and bars former Goldman Sachs banker for MDB-linked lapses",StanChart’s Hong Kong IPO investigation sends shares tumbling  per cent,Here is everything you need to know about the great MPF rip-off,"Standard Chartered to slash  per cent of worldwide corporate, institutional banking jobs",Ex-BSI banker found guilty in Singapore of charges linked to MDB probe,Why Malaysian PM Najib Razak is playing the race card,"Hong Kong will cash in as China continues to expand abroad, top banker says",,,,,,,
,BANKCOMM,,,,,,,,,,,,,,,
,CQRC%BANK,,,,,,,,,,,,,,,
,HUISHANG%BANK,China’s ‘Big Four’ banks still keeping a safe distance from burgeoning peer-to-peer lending sector,,,,,,,,,,,,,,
,BQD,,,,,,,,,,,,,,,
,CM%BANK,‘You certainly look younger than your age’: Taiwan’s PR robots come with soft skills to make hard sell,Hong Kong court jails man from mainland who bungled his own robbery attempt," years on, and the fight against prejudice and bias continues in Hong Kong","Mystical powers, A waists and ‘Facebook war’ against Taiwan:  phenomena that ruled China’s internet in ",Something strange- and possibly worrying- is going on with the ‘shrinkflation’ trend,Hong Kong’s auction houses looking at a stormy  if buyers can&#;t get money out of China ,,,,,,,,,
,BANK%OF%CHINA,Bank of China’s US chief sees lesson from fine against Agricultural Bank of China,Bank of China Q profit rises pc to . billion yuan,Bank of China Hong Kong to sell .pc of its stake in Chiyu Banking,Forex reserve safety concerns mean China ‘unlikely to massively sell US debt’,China backflips on currency policy with controls to stem yuan’s outflow,"Shanghai FTZ to step up monitoring of capital flows to stabilise the yuan, PBOC says",Top China bank fined US$ million over money laundering violations in New York,Central bank chief says China will rein in credit after IMF rings debt alarm bell,China’s central bank lets yuan fall below defensive line,Agricultural Bank of China leads push among China’s big five banks to set up debt-to-equity swap arms,,,,,
,JIUTAI%RCB,,,,,,,,,,,,,,,
,HARBIN%BANK,Kaisa unveils plan to build b yuan theme park featuring ‘animation city’ in Shenzhen east,,,,,,,,,,,,,,
,BANKOFZHENGZHOU,,,,,,,,,,,,,,,
,CEB%BANK,,,,,,,,,,,,,,,
